term	valence	freq
amazed	positive	10
ardent	positive	11
bliss	positive	4
calm	positive	14
carefree	positive	10
cheer	positive	10
cheerful	positive	10
devoted	positive	37
eager	positive	27
enjoying	positive	17
excited	positive	21
faithful	positive	10
friendly	positive	61
glorious	positive	16
happiness	positive	23
happy	positive	97
hopeful	positive	12
hug	positive	1
humerous	positive	16
joke	positive	27
joy	positive	47
laugh	positive	22
lively	positive	22
love	positive	145
medal	positive	11
peaceful	positive	26
pleasant	positive	35
pleased	positive	30
proud	positive	50
relieved	positive	21
smile	positive	56
sparkle	positive	4
stamina	positive	2
tender	positive	11
trust	positive	32
vitality	positive	17
warmth	positive	28
abuse	negative	22
alienation	negative	22
ashamed	negative	17
avoided	negative	19
awful	negative	14
bad	negative	134
bankrupt	negative	3
blame	negative	34
bored	negative	11
burden	negative	44
cramp	negative	4
cry	negative	64
curse	negative	10
damage	negative	28
depressed	negative	11
despair	negative	20
desperate	negative	26
doom	negative	10
doubts	negative	16
dud	negative	2
failure	negative	93
feeble	negative	8
fright	negative	2
funeral	negative	27
gloom	negative	14
grave	negative	19
grief	negative	10
guilt	negative	33
guilty	negative	29
helpless	negative	21
hopeless	negative	14
hurt	negative	31
ill	negative	26
isolated	negative	35
lonely	negative	25
loss	negative	86
misery	negative	17
pathetic	negative	8
penalty	negative	18
poverty	negative	20
punish	negative	14
regret	negative	6
rejected	negative	21
sad	negative	35
sick	negative	51
solemn	negative	12
sorry	negative	47
stupid	negative	24
suffering	negative	14
suicide	negative	19
tears	negative	34
terrible	negative	44
torture	negative	4
tragedy	negative	48
tragic	negative	33
trap	else	27
trouble	negative	131
ugly	negative	21
unhappy	negative	26
upset	negative	16
waste	negative	33
weakness	negative	52
widowed	negative	5
worry	negative	27
abandoned	else	25
accident	else	33
accuse	else	10
ache	else	11
afraid	else	37
anxiety	else	39
anxious	else	29
bomb	else	3
brooding	else	14
conflict	else	51
confused	else	40
corpse	else	7
crime	else	32
crisis	else	77
danger	else	86
demands	else	12
died	else	86
fearful	else	13
forgotton	else	37
fright	else	3
frightened	else	26
gun	else	1
harm	else	1
inhibit	else	17
injury	else	27
intense	else	40
killed	else	75
murder	else	70
nerves	else	22
nervous	else	24
ominous	else	12
pain	else	102
panic	else	20
restless	else	13
risk	else	42
scared	else	18
shock	else	30
shocked	else	17
shy	else	11
suffer	else	33
tense	else	10
tension	else	58
terror	else	26
threat	else	56
threat	else	42
torture	else	10
trap	else	19
troubled	else	23
uneasy	else	23
urgent	else	21
victim	else	27
violence	else	44
warning	else	17
absorb	else	41
academy	else	28
account	else	114
acquaint	else	15
agency	else	48
aluminum	else	18
average	else	5
banana	else	4
barbecue	else	15
bathe	else	26
brandy	else	7
bread	else	41
buck	else	10
bus	else	34
butter	else	27
butterfly	else	2
chicken	else	49
civilian	else	10
concert	else	35
conclude	else	16
context	else	37
cousin	else	13
cup	else	44
customers	else	41
deduct	else	17
degrees	else	23
diplomats	else	6
documentary	else	4
dune	else	9
dutch	else	11
earring	else	3
ebony	else	3
eel	else	2
factory	else	56
fan	else	34
fathom	else	3
flame	else	27
fluid	else	21
followed	else	172
fragment	else	16
gateway	else	4
gear	else	28
gene	else	11
glanced	else	25
grass	else	55
green	else	85
grouped	else	5
handle	else	22
hat	else	55
heel	else	41
herd	else	26
hypothesis	else	22
inch	else	39
incline	else	21
indirect	else	21
installed	else	35
iron	else	37
jacket	else	39
juice	else	13
kitty	else	12
ladder	else	28
lawn	else	20
lens	else	17
library	else	20
liquid	else	34
lock	else	63
lunch	else	33
maple	else	10
margin	else	16
measure	else	88
mention	else	18
moth	else	1
nearby	else	21
neutral	else	32
novel	else	59
onion	else	19
orange	else	9
oyster	else	16
package	else	14
palm	else	30
parking	else	4
pave	else	2
pen	else	18
pianist	else	21
placed	else	126
porch	else	45
pottery	else	16
quarter	else	62
quote	else	48
recruit	else	17
refund	else	24
replace	else	87
resident	else	28
restore	else	28
retained	else	18
salad	else	12
sandwich	else	13
scan	else	17
signal	else	87
slope	else	19
solar	else	16
somehow	else	72
sooner	else	17
starling	else	1
steel	else	38
submarine	else	15
swimming	else	37
taste	else	58
temperature	else	134
throw	else	35
total	else	25
transfer	else	43
tray	else	21
vitamin	else	15
wagon	else	72
weekly	else	14
whatever	else	111
willow	else	10
wrist	else	16
writing	else	55
yard	else	33
zero	else	17
zone	else	14
